run,task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error,job1_status,job2_localization,job2_status,job3_outcome,job3_gradient,job3_status,judged_failure,merge_note
rep2,t01,A,1,code,577769,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t01,Bp,1,code,444581,True,n/a,True,,True,873,-133188,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t01,B,1,code,562529,True,n/a,True,promise,False,840,-15240,1,False,,,,,pass,excellent,ok,False,
rep2,t02,A,2,code,373995,True,n/a,True,,True,1588,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t02,Bp,2,code,526209,True,n/a,True,,True,668,n/a,n/a,n/a,,ok,a_never_surfaced,ok,partial,failure,ok,True,
rep2,t02,B,2,code,388991,True,n/a,True,promise,False,3321,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t03,A,3,code,840216,False,False,True,,True,12664,n/a,n/a,n/a,,ok,,,,,,False,
rep2,t03,Bp,3,code,247051,False,False,True,,True,701,n/a,n/a,n/a,,ok,,,,,,False,
rep2,t03,B,3,code,177318,False,False,True,counter_offer,True,2038,n/a,n/a,n/a,,,,,,,,False,
rep2,t04,A,4,code,208380,False,n/a,True,,True,740,n/a,n/a,n/a,,ok,,,,,,False,
rep2,t04,Bp,4,code,150359,False,n/a,True,,True,783,n/a,n/a,n/a,,ok,,,,,,False,
rep2,t04,B,4,code,146731,False,n/a,True,counter_offer,True,2155,n/a,n/a,n/a,,,,,,,,False,
rep2,t05,A,1,code,310630,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t05,Bp,1,code,310427,True,n/a,True,,True,686,-203,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t05,B,1,code,378975,True,n/a,True,promise,False,721,68345,0,False,,,,,pass,excellent,ok,False,
rep2,t06,A,2,code,347557,True,n/a,True,,True,1318,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t06,Bp,2,code,363689,True,n/a,True,,True,1556,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
