task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error
t01,A,1,code,626405,True,n/a,True,,,,0,n/a,n/a,
t01,Bp,1,code,449586,True,n/a,True,,,,-176819,n/a,n/a,
t01,B,1,code,675213,True,n/a,True,promise,False,895,48808,0,False,
t02,A,2,code,446320,True,n/a,True,,,,n/a,n/a,n/a,
t02,Bp,2,code,411788,True,n/a,True,,,,n/a,n/a,n/a,
t02,B,2,code,449994,True,n/a,True,promise,False,2444,n/a,0,False,
t03,A,3,code,308108,False,False,True,,,,n/a,n/a,n/a,
t03,Bp,3,code,262492,False,False,True,,,,n/a,n/a,n/a,
t03,B,3,code,176194,False,False,True,counter_offer,True,2660,n/a,n/a,n/a,
t04,A,4,code,181184,False,n/a,True,,,,n/a,n/a,n/a,
t04,Bp,4,code,249737,False,n/a,True,,,,n/a,n/a,n/a,
t04,B,4,code,116967,False,n/a,True,counter_offer,True,1841,n/a,n/a,n/a,
t05,A,1,code,308333,True,n/a,True,,,,0,n/a,n/a,
t05,Bp,1,code,310328,True,n/a,True,,,,1995,n/a,n/a,
t05,B,1,code,400483,True,n/a,True,promise,False,776,92150,0,False,
t06,A,2,code,427624,True,n/a,True,,,,n/a,n/a,n/a,
t06,Bp,2,code,329450,True,n/a,True,,,,n/a,n/a,n/a,
t06,B,2,code,338639,True,n/a,True,promise,False,1850,n/a,0,False,
t07,A,3,code,694875,True,True,True,,,,n/a,n/a,n/a,
t07,Bp,3,code,848279,True,True,True,,,,n/a,n/a,n/a,
t07,B,3,code,265970,False,False,True,counter_offer,True,2043,n/a,n/a,n/a,
t08,A,4,code,971957,True,n/a,True,,,,n/a,n/a,n/a,
t08,Bp,4,code,1154849,True,n/a,True,,,,n/a,n/a,n/a,
t08,B,4,code,1350306,True,n/a,True,promise,False,4801,n/a,0,False,
t09,A,1,code,301296,True,n/a,True,,,,0,n/a,n/a,
t09,Bp,1,code,420154,True,n/a,True,,,,118858,n/a,n/a,
t09,B,1,code,394280,True,n/a,True,promise,False,990,92984,0,False,
t10,A,2,code,679701,True,n/a,True,,,,n/a,n/a,n/a,
t10,Bp,2,code,676471,True,n/a,True,,,,n/a,n/a,n/a,
t10,B,2,code,489066,True,n/a,True,promise,False,1718,n/a,0,False,
t11,A,3,prose,118246,False,False,n/a,,,,n/a,n/a,n/a,
t11,Bp,3,prose,116347,False,False,n/a,,,,n/a,n/a,n/a,
t11,B,3,prose,85405,False,False,n/a,decline,True,420,n/a,n/a,n/a,
t12,A,4,prose,205189,True,n/a,n/a,,,,n/a,n/a,n/a,
t12,Bp,4,prose,250217,True,n/a,n/a,,,,n/a,n/a,n/a,
t12,B,4,prose,358371,True,n/a,n/a,promise,False,964,n/a,0,False,
t13,A,1,prose,113173,True,n/a,n/a,,,,0,n/a,n/a,
t13,Bp,1,prose,114596,True,n/a,n/a,,,,1423,n/a,n/a,
t13,B,1,prose,202879,True,n/a,n/a,promise,False,643,89706,0,False,
t14,A,2,prose,160016,True,n/a,n/a,,,,n/a,n/a,n/a,
t14,Bp,2,prose,191161,True,n/a,n/a,,,,n/a,n/a,n/a,
t14,B,2,prose,377914,True,n/a,n/a,promise,False,833,n/a,0,False,
t15,A,3,code,450767,True,True,True,,,,n/a,n/a,n/a,
t15,Bp,3,code,551819,True,True,True,,,,n/a,n/a,n/a,
t15,B,3,code,142697,False,False,True,decline,True,607,n/a,n/a,n/a,
t16,A,4,code,480635,True,n/a,True,,,,n/a,n/a,n/a,
t16,Bp,4,code,544345,True,n/a,True,,,,n/a,n/a,n/a,
t16,B,4,code,525150,True,n/a,True,promise,False,2520,n/a,1,False,
t17,A,1,code,289871,True,n/a,True,,,,0,n/a,n/a,
t17,Bp,1,code,292616,True,n/a,True,,,,2745,n/a,n/a,
t17,B,1,code,383471,True,n/a,True,promise,False,936,93600,0,False,
t18,A,2,code,358880,True,n/a,True,,,,n/a,n/a,n/a,
t18,Bp,2,code,458817,True,n/a,True,,,,n/a,n/a,n/a,
t18,B,2,code,434424,True,n/a,True,promise,False,1980,n/a,0,False,
t19,A,3,code,401892,True,True,False,,,,n/a,n/a,n/a,
t19,Bp,3,code,353182,True,True,False,,,,n/a,n/a,n/a,
t19,B,3,code,428949,True,True,False,promise,False,3398,n/a,0,False,
t20,A,4,code,458573,True,n/a,True,,,,n/a,n/a,n/a,
t20,Bp,4,code,430339,True,n/a,True,,,,n/a,n/a,n/a,
t20,B,4,code,398250,True,n/a,True,promise,False,1712,n/a,0,False,
t21,A,1,prose,114138,True,n/a,n/a,,,,0,n/a,n/a,
t21,Bp,1,prose,175146,True,n/a,n/a,,,,61008,n/a,n/a,
t21,B,1,prose,232323,True,n/a,n/a,promise,False,747,118185,0,False,
t22,A,2,prose,160353,True,n/a,n/a,,,,n/a,n/a,n/a,
t22,Bp,2,prose,193533,True,n/a,n/a,,,,n/a,n/a,n/a,
t22,B,2,prose,345025,True,n/a,n/a,promise,False,1128,n/a,0,False,
t23,A,3,prose,248608,True,True,n/a,,,,n/a,n/a,n/a,
t23,Bp,3,prose,197598,True,True,n/a,,,,n/a,n/a,n/a,
t23,B,3,prose,146562,False,False,n/a,counter_offer,True,1844,n/a,n/a,n/a,
t24,A,4,prose,143994,True,n/a,n/a,,,,n/a,n/a,n/a,
t24,Bp,4,prose,175769,True,n/a,n/a,,,,n/a,n/a,n/a,
t24,B,4,prose,228701,True,n/a,n/a,promise,False,521,n/a,0,False,
