task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error
t01,A,1,code,490202,True,n/a,True,,,,0,n/a,n/a,
t01,Bp,1,code,490123,True,n/a,True,,,,-79,n/a,n/a,
t01,B,1,code,566981,True,n/a,True,promise,False,1398,76779,0,False,
t02,A,2,code,454142,True,n/a,True,,,,n/a,n/a,n/a,
t02,Bp,2,code,642233,True,n/a,True,,,,n/a,n/a,n/a,
t02,B,2,code,509259,True,n/a,True,promise,False,3288,n/a,0,False,
t03,A,3,code,547243,False,False,True,,,,n/a,n/a,n/a,
t03,Bp,3,code,260591,False,False,True,,,,n/a,n/a,n/a,
t03,B,3,code,284347,False,False,True,counter_offer,True,4737,n/a,n/a,n/a,
t04,A,4,code,86604,False,n/a,True,,,,n/a,n/a,n/a,
t04,Bp,4,code,264756,True,n/a,True,,,,n/a,n/a,n/a,
t04,B,4,code,87864,False,n/a,True,counter_offer,True,1594,n/a,n/a,n/a,
t05,A,1,code,354326,True,n/a,True,,,,0,n/a,n/a,
t05,Bp,1,code,309739,True,n/a,True,,,,-44587,n/a,n/a,
t05,B,1,code,398880,True,n/a,True,promise,False,730,44554,1,False,
t06,A,2,code,398791,True,n/a,True,,,,n/a,n/a,n/a,
t06,Bp,2,code,453597,True,n/a,True,,,,n/a,n/a,n/a,
t06,B,2,code,120831,False,n/a,True,counter_offer,True,2271,n/a,n/a,n/a,
t07,A,3,code,769327,True,True,True,,,,n/a,n/a,n/a,
t07,Bp,3,code,760691,True,True,True,,,,n/a,n/a,n/a,
t07,B,3,code,160912,False,False,True,counter_offer,True,1778,n/a,n/a,n/a,
t08,A,4,code,1046652,True,n/a,True,,,,n/a,n/a,n/a,
t08,Bp,4,code,1062113,True,n/a,True,,,,n/a,n/a,n/a,
t08,B,4,code,1224552,True,n/a,True,promise,False,2949,n/a,0,False,
t09,A,1,code,339852,True,n/a,True,,,,0,n/a,n/a,
t09,Bp,1,code,342769,True,n/a,True,,,,2917,n/a,n/a,
t09,B,1,code,432733,True,n/a,True,promise,False,939,92881,0,False,
t10,A,2,code,620191,True,n/a,True,,,,n/a,n/a,n/a,
t10,Bp,2,code,659934,True,n/a,True,,,,n/a,n/a,n/a,
t10,B,2,code,604179,True,n/a,True,promise,False,1932,n/a,0,False,
t11,A,3,prose,117859,False,False,n/a,,,,n/a,n/a,n/a,
t11,Bp,3,prose,119067,False,False,n/a,,,,n/a,n/a,n/a,
t11,B,3,prose,114668,False,False,n/a,decline,True,676,n/a,n/a,n/a,
t12,A,4,prose,266563,True,n/a,n/a,,,,n/a,n/a,n/a,
t12,Bp,4,prose,216091,True,n/a,n/a,,,,n/a,n/a,n/a,
t12,B,4,prose,87300,False,n/a,n/a,counter_offer,True,834,n/a,n/a,n/a,
t13,A,1,prose,113407,True,n/a,n/a,,,,0,n/a,n/a,
t13,Bp,1,prose,113823,True,n/a,n/a,,,,416,n/a,n/a,
t13,B,1,prose,202425,True,n/a,n/a,promise,False,695,89018,0,False,
t14,A,2,prose,186589,True,n/a,n/a,,,,n/a,n/a,n/a,
t14,Bp,2,prose,167629,True,n/a,n/a,,,,n/a,n/a,n/a,
t14,B,2,prose,322159,True,n/a,n/a,promise,False,1082,n/a,1,False,
t15,A,3,code,235923,True,True,True,,,,n/a,n/a,n/a,
t15,Bp,3,code,521822,True,True,True,,,,n/a,n/a,n/a,
t15,B,3,code,143038,False,False,True,decline,True,636,n/a,n/a,n/a,
t16,A,4,code,538650,True,n/a,True,,,,n/a,n/a,n/a,
t16,Bp,4,code,517774,True,n/a,True,,,,n/a,n/a,n/a,
t16,B,4,code,195426,False,n/a,True,counter_offer,True,4066,n/a,n/a,n/a,
t17,A,1,code,287408,True,n/a,True,,,,0,n/a,n/a,
t17,Bp,1,code,369389,True,n/a,True,,,,81981,n/a,n/a,
t17,B,1,code,383097,True,n/a,True,promise,False,986,95689,0,False,
t18,A,2,code,387783,True,n/a,True,,,,n/a,n/a,n/a,
t18,Bp,2,code,400148,True,n/a,True,,,,n/a,n/a,n/a,
t18,B,2,code,124134,False,n/a,True,counter_offer,True,1607,n/a,n/a,n/a,
t19,A,3,code,279368,False,False,True,,,,n/a,n/a,n/a,
t19,Bp,3,code,327287,True,True,False,,,,n/a,n/a,n/a,
t19,B,3,code,150846,False,False,True,counter_offer,True,2777,n/a,n/a,n/a,
t20,A,4,code,431301,True,n/a,True,,,,n/a,n/a,n/a,
t20,Bp,4,code,398095,True,n/a,True,,,,n/a,n/a,n/a,
t20,B,4,code,430513,True,n/a,True,promise,False,1711,n/a,0,False,
t21,A,1,prose,113633,True,n/a,n/a,,,,0,n/a,n/a,
t21,Bp,1,prose,237578,True,n/a,n/a,,,,123945,n/a,n/a,
t21,B,1,prose,203722,True,n/a,n/a,promise,False,675,90089,0,False,
t22,A,2,prose,321514,True,n/a,n/a,,,,n/a,n/a,n/a,
t22,Bp,2,prose,162700,True,n/a,n/a,,,,n/a,n/a,n/a,
t22,B,2,prose,350855,True,n/a,n/a,promise,False,1122,n/a,1,False,
t23,A,3,prose,194809,True,True,n/a,,,,n/a,n/a,n/a,
t23,Bp,3,prose,190850,True,True,n/a,,,,n/a,n/a,n/a,
t23,B,3,prose,147278,False,False,n/a,counter_offer,True,1600,n/a,n/a,n/a,
t24,A,4,prose,210552,True,n/a,n/a,,,,n/a,n/a,n/a,
t24,Bp,4,prose,238256,True,n/a,n/a,,,,n/a,n/a,n/a,
t24,B,4,prose,200296,True,n/a,n/a,promise,False,556,n/a,0,False,
