run,task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error,job1_status,job2_localization,job2_status,job3_outcome,job3_gradient,job3_status,judged_failure,merge_note
rep1,t01,A,1,code,490202,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t01,Bp,1,code,490123,True,n/a,True,,True,813,-79,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t01,B,1,code,566981,True,n/a,True,promise,False,1398,76779,0,False,,,,,pass,excellent,ok,False,
rep1,t02,A,2,code,454142,True,n/a,True,,True,1976,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t02,Bp,2,code,642233,True,n/a,True,,True,406,n/a,n/a,n/a,,ok,b_cos_unmet,ok,partial,failure,ok,True,
rep1,t02,B,2,code,509259,True,n/a,True,promise,False,3288,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t03,A,3,code,547243,False,False,True,,True,494,n/a,n/a,n/a,,ok,,,,,,False,
rep1,t03,Bp,3,code,260591,False,False,True,,True,484,n/a,n/a,n/a,,ok,,,,,,False,
rep1,t03,B,3,code,284347,False,False,True,counter_offer,True,4737,n/a,n/a,n/a,,,,,,,,False,
rep1,t04,A,4,code,86604,False,n/a,True,,True,2115,n/a,n/a,n/a,,ok,,,,,,False,
rep1,t04,Bp,4,code,264756,True,n/a,True,,True,1817,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep1,t04,B,4,code,87864,False,n/a,True,counter_offer,True,1594,n/a,n/a,n/a,,,,,,,,False,
rep1,t05,A,1,code,354326,True,n/a,True,,True,791,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t05,Bp,1,code,309739,True,n/a,True,,False,,-44587,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t05,B,1,code,398880,True,n/a,True,promise,False,730,44554,1,False,,,,,pass,excellent,ok,False,
rep1,t06,A,2,code,398791,True,n/a,True,,True,1453,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t06,Bp,2,code,453597,True,n/a,True,,True,1646,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t06,B,2,code,120831,False,n/a,True,counter_offer,True,2271,n/a,n/a,n/a,,,,,,,,False,
rep1,t07,A,3,code,769327,True,True,True,,True,1761,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep1,t07,Bp,3,code,760691,True,True,True,,True,1341,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep1,t07,B,3,code,160912,False,False,True,counter_offer,True,1778,n/a,n/a,n/a,,,,,,,,False,
rep1,t08,A,4,code,1046652,True,n/a,True,,False,,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t08,Bp,4,code,1062113,True,n/a,True,,True,1867,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t08,B,4,code,1224552,True,n/a,True,promise,False,2949,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t09,A,1,code,339852,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t09,Bp,1,code,342769,True,n/a,True,,True,609,2917,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t09,B,1,code,432733,True,n/a,True,promise,False,939,92881,0,False,,,,,pass,excellent,ok,False,
rep1,t10,A,2,code,620191,True,n/a,True,,True,2266,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t10,Bp,2,code,659934,True,n/a,True,,True,1690,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep1,t10,B,2,code,604179,True,n/a,True,promise,False,1932,n/a,0,False,,,,,pass,excellent,ok,False,
rep1,t11,A,3,prose,117859,False,False,n/a,,True,305,n/a,n/a,n/a,,ok,,,,,,False,
rep1,t11,Bp,3,prose,119067,False,False,n/a,,True,419,n/a,n/a,n/a,,ok,,,,,,False,
rep1,t11,B,3,prose,114668,False,False,n/a,decline,True,676,n/a,n/a,n/a,,,,,,,,False,
rep1,t12,A,4,prose,266563,True,n/a,n/a,,True,180,n/a,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t12,Bp,4,prose,216091,True,n/a,n/a,,True,611,n/a,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t12,B,4,prose,87300,False,n/a,n/a,counter_offer,True,834,n/a,n/a,n/a,,,,,,,,False,
rep1,t13,A,1,prose,113407,True,n/a,n/a,,False,,0,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep1,t13,Bp,1,prose,113823,True,n/a,n/a,,False,,416,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t13,B,1,prose,202425,True,n/a,n/a,promise,False,695,89018,0,False,,,,,pass,excellent,ok,False,
rep1,t14,A,2,prose,186589,True,n/a,n/a,,True,908,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t14,Bp,2,prose,167629,True,n/a,n/a,,True,326,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t14,B,2,prose,322159,True,n/a,n/a,promise,False,1082,n/a,1,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t15,A,3,code,235923,True,True,True,,True,424,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t15,Bp,3,code,521822,True,True,True,,True,1541,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep1,t15,B,3,code,143038,False,False,True,decline,True,636,n/a,n/a,n/a,,,,,,,,False,
rep1,t16,A,4,code,538650,True,n/a,True,,True,1810,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t16,Bp,4,code,517774,True,n/a,True,,True,2488,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t16,B,4,code,195426,False,n/a,True,counter_offer,True,4066,n/a,n/a,n/a,,,,,,,,False,
rep1,t17,A,1,code,287408,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t17,Bp,1,code,369389,True,n/a,True,,True,771,81981,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep1,t17,B,1,code,383097,True,n/a,True,promise,False,986,95689,0,False,,,,,pass,excellent,ok,False,
